Name,Value
CubeGun,9.6
Cubemen,19.499999999999996
Cubemen 2,15.0
Cubic Castles,107.2
Cubot,0.5
Cultures - Northland,194.0
Curse The Eye of Isis,0.2
Curse of Mermos,2.6
Cyto,3.4
D.I.P.R.I.P. Warm Up,50.8
D.U.S.T.,0.1
D4 Dark Dreams Don't Die,0.5
DARK,13.8
DARK SOULS II,6193.799999999999
DARK SOULS II Scholar of the First Sin,1691.3
DC Universe Online,4674.7
DCS Black Shark,4.2
DCS World,38.20000000000001
DEFCON,38.00000000000001
DETOUR,7.2
DLC Quest,67.6
DOOM 3,70.7
DOOM 3 BFG Edition,388.6
DOOM 3 Resurrection of Evil,13.599999999999998
DOOM II Hell on Earth,31.1
DRAGON BALL XENOVERSE,1254.2999999999997
DRAKERZ-Confrontation,1.9
DUNGEONS - Steam Special Edition,93.2
DUNGEONS - The Dark Lord (Steam Special Edition),27.1
DYNASTY WARRIORS 8 Xtreme Legends Complete Edition,140.8
Daikatana,0.8999999999999999
Damnation,0.2
Damnation City of Death,1.0
Damned,24.900000000000002
Dangerous High School Girls in Trouble!,1.1
Dangerous Waters,0.5
Dark Arcana The Carnival,3.2
Dark Echo,0.1
Dark Fall 1 The Journal,0.5
Dark Fall Lost Souls,3.0
Dark Messiah of Might & Magic Multi-Player,580.5000000000001
Dark Messiah of Might & Magic Single Player,147.90000000000003
Dark Souls Prepare to Die Edition,4738.5
Dark Void,0.4
Dark Void Zero,0.2
DarkEnd,2.3
DarkStar One,41.9
Darkest Dungeon,781.3000000000002
Darkest Hour A Hearts of Iron Game,123.60000000000001
Darkest Hour Europe '44-'45,342.0
Darkout,1.0
Darksiders,1194.9999999999998
Darksiders II,1282.8000000000004
Darksiders II Deathinitive Edition,4.8
Darkspore,151.0
Darkstone,18.6
Darkwind War on Wheels,0.7
Darwinia,31.000000000000004
David.,0.2
Dawn of Discovery,18.200000000000003
Dawn of Discovery - Venice,219.1
Day One Garry's Incident,6.1
Day of Defeat,1351.4999999999998
Day of Defeat Source,4840.300000000001
DayZ,20315.399999999998
Daylight,7.1
Dead Bits,39.400000000000006
Dead Effect,7.000000000000001
Dead Horde,4.199999999999999
Dead Island,2532.0000000000005
Dead Island Epidemic,742.0000000000001
Dead Island Riptide,633.5000000000003
Dead Mountaineer's Hotel,0.9
Dead Pixels,3.9000000000000004
Dead Realm,46.2
Dead Rising 2,127.69999999999997
Dead Rising 2 Off the Record,51.599999999999994
Dead Rising 3,172.20000000000002
Dead Space,327.3999999999999
Dead Space 2,270.9
Dead State,48.2
Dead or Alive 5 Last Round,16.3
DeadCore,5.5
Deadbreed,47.6
Deadfall Adventures,8.100000000000001
Deadlight,108.60000000000002
Deadlings - Rotten Edition,5.0
Deadly 30,8.100000000000001
Deadly Premonition The Director's Cut,11.6
Deadly Profits,3.4
Deadpool,131.0
Dear Esther,32.1
Death Rally,17.9
Death Skid Marks,0.3
DeathSpank,43.2
DeathSpank Thongs Of Virtue,18.1
Deathmatch Classic,23.699999999999996
Deathtrap,3.1999999999999997
Decay - The Mare,5.0
Deepworld,3.0000000000000004
Defend Your Life,3.8
Defender's Quest Valley of the Forgotten,24.5
Defense Grid 2,120.19999999999999
Defense Grid 2 A Matter of Endurance,4.6
Defense Grid The Awakening,755.8
Defiance,1433.6
Defy Gravity,35.800000000000004
Delta Force 2,3.3
Delta Force Black Hawk Down,0.6
Delta Force Black Hawk Down - Team Sabre,69.0
Delve Deeper,4.6000000000000005
Delver,2.5999999999999996
Dementium II HD,3.8
Demigod,144.0
Demise of Nations Rome,1.5
Democracy 2,78.60000000000001
Democracy 3,152.9
"Demolition, Inc.",2.5
Demon Hunter Chronicles from Beyond,3.7
Demonicon,3.5
Deponia,171.3
Deponia The Complete Journey,122.4
Depression Quest,6.2
Depth,248.5
Depth Hunter 2 Deep Dive,10.4
Depths of Peril,0.2
Descent,20.4
Descent 2,0.30000000000000004
Descent Underground,0.5
Desktop Dungeons,87.9
Despair,21.700000000000003
Desperados - Wanted Dead or Alive,11.2
Destination Sol,9.0
Destiny Warriors,2.6
Detective Grimoire,1.8
Dethroned!,0.7
Deus Ex Game of the Year Edition,188.3
Deus Ex Human Revolution,3587.4000000000005
Deus Ex Human Revolution - Director's Cut,777.1000000000004
Deus Ex Human Revolution - The Missing Link,195.50000000000003
Deus Ex Invisible War,18.5
Deus Ex Revision,0.5
Deus Ex The Fall,9.1
Dev Guy,1.5
Devil May Cry 3 Special Edition,29.7
Devil May Cry 4,114.7
Devil May Cry 4 Special Edition,22.1
Devilian,93.80000000000001
Devils Share,0.7
Dex,10.8
DiRT,8.0
DiRT 2,268.9
DiRT 3,691.9000000000002
DiRT 3 Complete Edition,98.7
DiRT Rally,189.7
DiRT Showdown,124.60000000000001
Diamond Dan,0.1
Diaper Dash,0.3
Dig or Die,21.0
DiggerOnline,84.4
Digital Combat Simulator A-10C Warthog,0.8
Diner Dash Hometown Hero,5.1
DinerTown Tycoon,1.0
Dino D-Day,164.0999999999999
Dinosaur Hunt Africa Contract,0.5
Dirty Bomb,1390.3000000000004
Disciples II Gallean's Return,47.800000000000004
Disciples II Rise of the Elves,1.0
