Name,Value
Bitweb,2.0
Black Fire,9.0
Black Ice,1.0
Black Ink,3.0
Black Mesa,11.0
Black Mirror,5.0
Black Mirror II,1.0
Black Sails,3.0
Black Viper Sophia's Fate,2.0
BlackShadows,1.0
Blackguards,29.0
Blackguards 2,12.0
Blackguards Untold Legends,3.0
Blacklight Retribution,176.0
Blacklight Tango Down,2.0
Blackwell Convergence,4.0
Blackwell Deception,3.0
Blackwell Epiphany,2.0
Blackwell Unbound,4.0
Blade Kitten,2.0
Blade Symphony,14.0
Blades of Time,16.0
Blake Stone Aliens of Gold,3.0
Blake Stone Planet Strike,3.0
Blast Em!,4.0
Blast Em! Source Code,2.0
BlastZone 2,1.0
Blaster Shooter GunGuy!,6.0
BlazBlue Calamity Trigger,4.0
BlazBlue Continuum Shift Extend,4.0
BlazeRush,2.0
Blazing Angels 2 Secret Missions of WWII,4.0
Blazing Angels Squadrons of WWII,3.0
Bleed,6.0
Blender 2.76b,57.0
Blitzkrieg 2 Anthology,3.0
Blitzkrieg Anthology,5.0
Blob From Space,3.0
Blob From Space - Please Don't Stop The Music,1.0
Block N Load,72.0
Block Story,1.0
Blockland,12.0
Blocks That Matter,21.0
Blockscape,1.0
Blockstorm,11.0
Blood & Gold Caribbean!,1.0
Blood Bowl 2,6.0
Blood Bowl 2 - Lizardmen,4.0
Blood Bowl 2 - Wood Elves,3.0
Blood Bowl Chaos Edition,15.0
Blood Bowl Dark Elves Edition,2.0
Blood Bowl Legendary Edition,37.0
Blood Knights,3.0
Blood Omen 2 Legacy of Kain,12.0
Blood One Unit Whole Blood,3.0
Blood of Old,13.0
Blood of the Werewolf,2.0
BloodLust Shadowhunter,1.0
BloodRayne,2.0
BloodRayne 2,3.0
BloodRayne Betrayal,4.0
BloodRealm Battlegrounds,12.0
Bloodbath Kavkaz,1.0
Bloodline Champions,52.0
Bloodsports.TV,2.0
Bloodsports.TV - Blood Brawl,2.0
Bloodwood Reload,6.0
Bloody Good Time,7.0
Bloody Trapland,13.0
Bloons TD5,8.0
Bloop,16.0
Blue Estate Digital Comic,1.0
Blue Rose,1.0
Blue Toad Murder Files - The Mysteries of Little Riddle,4.0
Blur,8.0
Bob Came in Pieces,4.0
Bob Was Hungry,2.0
Boid,3.0
Bone Out from Boneville,3.0
Bone The Great Cow Race,3.0
Boo Bunny Plague,1.0
BookWorm Adventures Volume 2,2.0
BookWorm Deluxe,8.0
Bookworm Adventures Deluxe,5.0
Booster Trooper,3.0
Borderlands,183.0
Borderlands 2,429.0
Borderlands 2 Headhunter 1 Bloody Harvest,43.0
Borderlands 2 Headhunter 2 Wattle Gobbler,42.0
Borderlands 2 Headhunter 3 Mercenary Day,38.0
Borderlands 2 Headhunter 4 Wedding Day Massacre,45.0
Borderlands 2 Headhunter 5 Son of Crawmerax,42.0
Borderlands 2 RU,33.0
Borderlands DLC Claptraps New Robot Revolution,128.0
Borderlands DLC Mad Moxxi's Underdome Riot,135.0
Borderlands DLC The Secret Armory of General Knoxx,138.0
Borderlands DLC The Zombie Island of Dr. Ned,139.0
Borderlands The Pre-Sequel,82.0
Borderless Gaming,1.0
Borealis,7.0
Boring Man - Online Tactical Stickman Combat,34.0
Boson X,6.0
Botanicula,24.0
Bound By Flame,12.0
Braid,77.0
Brawl Busters,15.0
Brawlhalla,91.0
Breach,4.0
Breach & Clear,7.0
Breach & Clear Deadline,1.0
Break Into Zatwor,8.0
Break the Cube,1.0
Breath of Death VII ,33.0
Breezeblox,1.0
Brick-Force,92.0
Brick-Force (US),1.0
Bridge Constructor,14.0
Bridge Constructor Medieval,3.0
Bridge Constructor Playground,4.0
Bridge It (plus),4.0
Bridge Project,16.0
Brilliant Bob,7.0
Brink of Consciousness Dorian Gray Syndrome,2.0
Brink of Consciousness The Lonely Hearts Murders,1.0
Broforce,30.0
Broken Age,20.0
Broken Sword 1 - Shadow of the Templars Director's Cut,20.0
Broken Sword 2 - the Smoking Mirror Remastered,20.0
Broken Sword 3 - the Sleeping Dragon,9.0
Broken Sword 4 - the Angel of Death,1.0
Broken Sword 5 - the Serpent's Curse,9.0
Brothers - A Tale of Two Sons,64.0
Brothers in Arms Earned in Blood,3.0
Brothers in Arms Hell's Highway,5.0
Brothers in Arms Road to Hill 30,5.0
Brtal Legend,76.0
Buccaneer The Pursuit of Infamy,1.0
Build-A-Lot,1.0
Build-A-Lot 2,1.0
Build-A-Lot 3,1.0
Build-A-Lot 4,1.0
Bullet Candy,3.0
Bullet Heaven 2,1.0
Bullet Heaven 2 - Soundtrack,1.0
Bullet Run,15.0
Bulletstorm,28.0
Bully Scholarship Edition,35.0
Bumbledore,1.0
Bunch Of Heroes,16.0
Burgers,6.0
Burn Zombie Burn,5.0
Burnout Paradise The Ultimate Box,129.0
Burstfire,5.0
Bus Driver,10.0
Bus-Simulator 2012,2.0
Butsbal,1.0
Buzz Aldrin's Space Program Manager,1.0
C-RUSH,2.0
C9,44.0
CAFE 0 ~The Drowned Mermaid~,1.0
CAFE 0 ~The Drowned Mermaid~ - Japanese Voice Add-On,1.0
CID The Dummy,1.0
COH2 - The Western Front Armies Oberkommando West,47.0
COH2 - The Western Front Armies US Forces,32.0
CONSORTIUM,2.0
CRYENGINE,1.0
CRYPTARK,1.0
CSGO Player Profiles,9.0
CSGO Player Profiles - Device,9.0
CSGO Player Profiles - Edward,9.0
CSGO Player Profiles - Fallen,9.0
CSGO Player Profiles - Get_Right,9.0
CSGO Player Profiles - KennyS,9.0
CSGO Player Profiles - Markeloff,9.0
CSGO Player Profiles - N0thing,9.0
CSGO Player Profiles - Olofmeister,9.0
CSGO Player Profiles - Taz,9.0
CT Special Forces Fire for Effect,6.0
Cabela's African Adventures,1.0
Cabela's Big Game Hunter Pro Hunts,4.0
Cabela's Dangerous Hunts 2013,1.0
Cabela's Hunting Expeditions,1.0
Cabelas Trophy Bucks,1.0
CaesarIA,12.0
Cakewalk Loop Manager,24.0
Cakewalk Sound Center,3.0
Calibre 10 Racing Series,1.0
Call of Cthulhu Dark Corners of the Earth,9.0
Call of Duty,10.0
Call of Duty 2,13.0
Call of Duty 4 Modern Warfare,67.0
Call of Duty Advanced Warfare,76.0
Call of Duty Advanced Warfare - Multiplayer,76.0
Call of Duty Black Ops,254.0
Call of Duty Black Ops - Multiplayer,254.0
Call of Duty Black Ops - Multiplayer OSX,4.0
Call of Duty Black Ops - OSX,4.0
Call of Duty Black Ops II,168.0
Call of Duty Black Ops II - Multiplayer,168.0
Call of Duty Black Ops II - Zombies,168.0
Call of Duty Black Ops III,41.0
Call of Duty Ghosts,90.0
Call of Duty Ghosts - Multiplayer,90.0
Call of Duty Modern Warfare 2,343.0
Call of Duty Modern Warfare 2 - Multiplayer,343.0
Call of Duty Modern Warfare 2 - Resurgence Pack,22.0
Call of Duty Modern Warfare 2 Stimulus Package,25.0
Call of Duty Modern Warfare 3,239.0
Call of Duty Modern Warfare 3 - Multiplayer,239.0
Call of Duty United Offensive,8.0
Call of Duty World at War,87.0
Call of Juarez,6.0
Call of Juarez Bound in Blood,14.0
Call of Juarez Gunslinger,58.0
Call of Juarez The Cartel,16.0
Call of Tomsk-7,2.0
Call to Arms,3.0
Call to Arms - Deluxe Edition,2.0
Camera Obscura,14.0
Camera Obscura Soundtrack,2.0
CameraBag 2,1.0
Cannon Brawl,3.0
Cannon Fodder 3,1.0
Cannons Lasers Rockets,13.0
Canyon Capers,25.0
Capsized,30.0
Captain Forever Remix,1.0
Captain Morgane and the Golden Turtle,2.0
Car Mechanic Simulator 2014,27.0
Car Mechanic Simulator 2015,13.0
